"Region","PHI","Barangay","Disease","No. of Cases","MW"
"10","CITY OF CAGAYAN DE ORO","CARMEN","Acute Flaccid Paralysis (AFP)","2","23"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","SULU","TULAY","Acute Flaccid Paralysis (AFP)","2","23"
