"Region","PHI","Barangay","Disease","No. of Cases","MW"
"2","Isabela","Bolinao","Acute Bloody Diarrhea (ABD)","3","15"
"7","Bohol","Alegria","Acute Bloody Diarrhea (ABD)","4","15"
"7","Bohol","Balintawak","Acute Bloody Diarrhea (ABD)","3","15"
"8","Southern Leyte","District Ii (Pob.)","Acute Bloody Diarrhea (ABD)","4","15"
"9","City Of Isabela","Diki","Acute Bloody Diarrhea (ABD)","8","15"
"9","City Of Isabela","Masula","Acute Bloody Diarrhea (ABD)","3","15"
"9","City Of Isabela","Sumagdang","Acute Bloody Diarrhea (ABD)","3","15"
"9","City Of Isabela","Tampalan","Acute Bloody Diarrhea (ABD)","9","15"
"9","Zamboanga Del Sur","Poblacion","Acute Bloody Diarrhea (ABD)","3","15"
"9","Zamboanga Del Sur","Kawit","Acute Bloody Diarrhea (ABD)","3","15"
"9","Zamboanga Del Sur","Lumbia","Acute Bloody Diarrhea (ABD)","4","15"
"9","Zamboanga Del Sur","Lumbia","Acute Bloody Diarrhea (ABD)","3","15"
"9","Zamboanga Del Sur","Poblacion","Acute Bloody Diarrhea (ABD)","3","15"
"10","Bukidnon","Dologon","Acute Bloody Diarrhea (ABD)","6","15"
"10","Bukidnon","Pinilayan","Acute Bloody Diarrhea (ABD)","3","15"
"10","Misamis Oriental","Ampianga","Acute Bloody Diarrhea (ABD)","3","15"
"11","Davao De Oro","Kingking (Pob.)","Acute Bloody Diarrhea (ABD)","5","15"
"11","Davao De Oro","Napnapan","Acute Bloody Diarrhea (ABD)","3","15"
"11","Davao Occidental","Poblacion","Acute Bloody Diarrhea (ABD)","10","15"
"4A","Rizal","Mambugan","Acute Bloody Diarrhea (ABD)","3","15"
"4B","Palawan","Barangay I (Pob.)","Acute Bloody Diarrhea (ABD)","3","15"
"4B","Palawan","Princess Urduja","Acute Bloody Diarrhea (ABD)","5","15"
"BARMM","Basilan","Port Holland Zone Iv (Lower)","Acute Bloody Diarrhea (ABD)","5","15"
"BARMM","Tawi-Tawi","Nunukan","Acute Bloody Diarrhea (ABD)","4","15"
"BARMM","Tawi-Tawi","Sipangkot","Acute Bloody Diarrhea (ABD)","5","15"
"NCR","City Of Para̱aque","San Antonio","Acute Bloody Diarrhea (ABD)","3","15"
