"Region","PHI","Barangay","Disease","No. of Cases","MW"
"2","Isabela","Bolinao","Acute Bloody Diarrhea (ABD)","3","16"
"7","Bohol","Alegria","Acute Bloody Diarrhea (ABD)","4","16"
"8","Southern Leyte","District Ii (Pob.)","Acute Bloody Diarrhea (ABD)","4","16"
"9","City Of Isabela","Diki","Acute Bloody Diarrhea (ABD)","6","16"
"9","City Of Isabela","Masula","Acute Bloody Diarrhea (ABD)","3","16"
"9","City Of Isabela","San Rafael","Acute Bloody Diarrhea (ABD)","3","16"
"9","City Of Isabela","Sumagdang","Acute Bloody Diarrhea (ABD)","3","16"
"9","City Of Isabela","Tampalan","Acute Bloody Diarrhea (ABD)","10","16"
"9","Zamboanga Del Sur","Poblacion","Acute Bloody Diarrhea (ABD)","3","16"
"9","Zamboanga Del Sur","Lumbia","Acute Bloody Diarrhea (ABD)","4","16"
"9","Zamboanga Del Sur","Mabuhay","Acute Bloody Diarrhea (ABD)","3","16"
"9","Zamboanga Del Sur","Poblacion","Acute Bloody Diarrhea (ABD)","3","16"
"9","Zamboanga Sibugay","Poblacion","Acute Bloody Diarrhea (ABD)","3","16"
"10","Bukidnon","Dologon","Acute Bloody Diarrhea (ABD)","5","16"
"10","Bukidnon","Salawagan","Acute Bloody Diarrhea (ABD)","3","16"
"10","Iligan City","Tubod","Acute Bloody Diarrhea (ABD)","3","16"
"11","Davao De Oro","Kingking (Pob.)","Acute Bloody Diarrhea (ABD)","4","16"
"11","Davao De Oro","Napnapan","Acute Bloody Diarrhea (ABD)","3","16"
"11","Davao Occidental","Poblacion","Acute Bloody Diarrhea (ABD)","6","16"
"4B","Palawan","Princess Urduja","Acute Bloody Diarrhea (ABD)","4","16"
"BARMM","Tawi-Tawi","Nunukan","Acute Bloody Diarrhea (ABD)","3","16"
"CARAGA","Agusan Del Norte","Poblacion Ii","Acute Bloody Diarrhea (ABD)","3","16"
"NCR","City Of Parañaque","San Antonio","Acute Bloody Diarrhea (ABD)","3","16"
"NCR","City Of Valenzuela","Gen. T. De Leon","Acute Bloody Diarrhea (ABD)","3","16"
