"Region","PHI","Barangay","Disease","No. of Cases","MW"
"VIII","EASTERN SAMAR","SABANG SOUTH","Severe Acute Respiratory Infection (SARI)","3","19"
"VIII","EASTERN SAMAR","SONGCO","Severe Acute Respiratory Infection (SARI)","5","19"
"VIII","CITY OF TACLOBAN","BARANGAY 97","Severe Acute Respiratory Infection (SARI)","3","19"
"VIII","CITY OF TACLOBAN","BARANGAY 105","Severe Acute Respiratory Infection (SARI)","3","19"
"VIII","EASTERN SAMAR","LUPOK","Severe Acute Respiratory Infection (SARI)","3","19"
"VIII","EASTERN SAMAR","COGON","Severe Acute Respiratory Infection (SARI)","3","19"
