"Region","PHI","Barangay","Disease","No. of Cases","MW"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","LANAO DEL SUR","BOGANGA","Hand, Foot, and Mouth Disease","2","23"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","LANAO DEL SUR","DILAUSAN","Hand, Foot, and Mouth Disease","2","23"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","MAGUINDANAO DEL NORTE","ROSARY HEIGHTS X","Hand, Foot, and Mouth Disease","2","23"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","MAGUINDANAO DEL NORTE","MAKING","Hand, Foot, and Mouth Disease","2","23"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","APAYAO","POBLACION EAST","Hand, Foot, and Mouth Disease","4","23"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","APAYAO","ZUMIGUI","Hand, Foot, and Mouth Disease","2","23"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","BENGUET","VIRAC","Hand, Foot, and Mouth Disease","2","23"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","BENGUET","POBLACION","Hand, Foot, and Mouth Disease","2","23"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","BENGUET","POBLACION","Hand, Foot, and Mouth Disease","2","23"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","MOUNTAIN PROVINCE","MAYAG","Hand, Foot, and Mouth Disease","2","23"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","MOUNTAIN PROVINCE","BUTAC","Hand, Foot, and Mouth Disease","2","23"
"MIMAROPA REGION","CITY OF PUERTO PRINCESA","IRAWAN","Hand, Foot, and Mouth Disease","2","23"
"MIMAROPA REGION","CITY OF PUERTO PRINCESA","SIMPOCAN","Hand, Foot, and Mouth Disease","2","23"
"MIMAROPA REGION","OCCIDENTAL MINDORO","MALPALON","Hand, Foot, and Mouth Disease","2","23"
"MIMAROPA REGION","OCCIDENTAL MINDORO","POYPOY","Hand, Foot, and Mouth Disease","2","23"
"MIMAROPA REGION","OCCIDENTAL MINDORO","TANYAG","Hand, Foot, and Mouth Disease","2","23"
"MIMAROPA REGION","ORIENTAL MINDORO","TABON-TABON","Hand, Foot, and Mouth Disease","2","23"
"MIMAROPA REGION","ORIENTAL MINDORO","BACUNGAN","Hand, Foot, and Mouth Disease","4","23"
"MIMAROPA REGION","ORIENTAL MINDORO","BANCURO","Hand, Foot, and Mouth Disease","2","23"
"MIMAROPA REGION","ORIENTAL MINDORO","BUHANGIN","Hand, Foot, and Mouth Disease","6","23"
