"Region","PHI","Barangay","Disease","No. of Cases","MW"
"11","DAVAO DE ORO","POBLACION","Measles-Rubella","2","20"
"12","SARANGANI","LADOL","Measles-Rubella","2","20"
"NCR","CALOOCAN CITY","BARANGAY 176-A","Measles-Rubella","2","20"
"NCR","CALOOCAN CITY","BARANGAY 178","Measles-Rubella","2","20"
"NCR","CITY OF MALABON","TAÃONG (POB.)","Measles-Rubella","2","20"
"NCR","CITY OF MANILA","BARANGAY 105","Measles-Rubella","3","20"
"NCR","CITY OF MANILA","BARANGAY 18","Measles-Rubella","2","20"
"NCR","CITY OF MANILA","BARANGAY 20","Measles-Rubella","3","20"
