"Region","PHI","Barangay","Disease","No. of Cases","MW"
"1","LA UNION","CATBANGEN","Measles-Rubella","","5"
"1","DAGUPAN CITY","BONUAN GUESET","Measles-Rubella","2","5"
"1","ILOCOS SUR","SUBEC","Measles-Rubella","2","5"
"3","BULACAN","BOROL 1ST","Measles-Rubella","3","5"
"3","BULACAN","PULONG GUBAT","Measles-Rubella","2","5"
"3","BULACAN","WAWA (POB.)","Measles-Rubella","2","5"
"6","ANTIQUE","FABRICA","Measles-Rubella","7","5"
"6","ILOILO","PANDAN","Measles-Rubella","2","5"
"6","ILOILO","SAN NICOLAS","Measles-Rubella","2","5"
"9","ZAMBOANGA SIBUGAY","POBLACION (SANTA FE)","Measles-Rubella","3","5"
"9","ZAMBOANGA DEL SUR","SAN ISIDRO","Measles-Rubella","2","5"
"9","ZAMBOANGA CITY","TALON-TALON","Measles-Rubella","4","5"
"11","DAVAO DEL NORTE","MADAUM","Measles-Rubella","2","5"
"11","DAVAO ORIENTAL","POBLACION","Measles-Rubella","2","5"
"12","SARANGANI","POBLACION (ALABEL)","Measles-Rubella","2","5"
"12","GENERAL SANTOS CITY (DADIANGAS)","LABANGAL","Measles-Rubella","2","5"
"12","GENERAL SANTOS CITY (DADIANGAS)","SAN ISIDRO (LAGAO 2ND)","Measles-Rubella","2","5"
"4A","QUEZON","CARIDAD ILAYA","Measles-Rubella","2","5"
"4A","LAGUNA","KANLURAN (POB.)","Measles-Rubella","2","5"
"4A","LAGUNA","LIMAO","Measles-Rubella","2","5"
"4A","RIZAL","SAN LUIS","Measles-Rubella","3","5"
"4A","LAGUNA","LANGKIWA","Measles-Rubella","2","5"
"4A","RIZAL","PUNTA","Measles-Rubella","6","5"
"4A","RIZAL","SAN ISIDRO","Measles-Rubella","3","5"
"4B","OCCIDENTAL MINDORO","PAETAN","Measles-Rubella","3","5"
"BARMM","LANAO DEL SUR","MABLE","Measles-Rubella","2","5"
"BARMM","LANAO DEL SUR","NAVARRO (DATU SABER)","Measles-Rubella","3","5"
"BARMM","LANAO DEL SUR","PAPANDAYAN","Measles-Rubella","2","5"
"BARMM","MAGUINDANAO DEL SUR","SATAN","Measles-Rubella","2","5"
"CAR","BENGUET","TINONGDAN","Measles-Rubella","2","5"
"CARAGA","AGUSAN DEL NORTE","CABINET","Measles-Rubella","4","5"
"NCR","CITY OF LAS PIÃAS","ALMANZA UNO","Measles-Rubella","2","5"
"NCR","CITY OF MANDALUYONG","ADDITION HILLS","Measles-Rubella","2","5"
"NCR","CITY OF MANILA","BARANGAY 105","Measles-Rubella","4","5"
"NCR","CITY OF MANILA","BARANGAY 383","Measles-Rubella","3","5"
"NCR","CITY OF MANILA","BARANGAY 647","Measles-Rubella","2","5"
"NCR","CITY OF MANILA","BARANGAY 648","Measles-Rubella","25","5"
"NCR","QUEZON CITY","BATASAN HILLS","Measles-Rubella","2","5"
"NCR","QUEZON CITY","COMMONWEALTH","Measles-Rubella","2","5"
"NCR","QUEZON CITY","TATALON","Measles-Rubella","3","5"
"NCR","QUEZON CITY","DAMAYANG LAGI","Measles-Rubella","2","5"
"NCR","QUEZON CITY","DOÃA IMELDA","Measles-Rubella","2","5"
"NCR","TAGUIG CITY","LIGID-TIPAS","Measles-Rubella","2","5"
"NIR","SIQUIJOR","SAWANG","Measles-Rubella","2","5"
"NIR","NEGROS ORIENTAL","AMIO","Measles-Rubella","2","5"
