"Region","PHI","Barangay","Disease","No. of Cases","MW"
"2","Nueva Vizcaya","Tiblac","Rotavirus","3","17"
"2","Nueva Vizcaya","Lantap","Rotavirus","3","17"
"2","Nueva Vizcaya","Aurora","Rotavirus","3","17"
"3","Pampanga","San Juan","Rotavirus","3","17"
"3","Pampanga","San Pedro","Rotavirus","4","17"
"6","Bacolod City","Banago","Rotavirus","4","17"
"6","Bacolod City","Barangay 35","Rotavirus","4","17"
"6","Bacolod City","Bata","Rotavirus","3","17"
"6","Bacolod City","Handumanan","Rotavirus","3","17"
"6","Bacolod City","Singcang-Airport","Rotavirus","4","17"
"6","Bacolod City","Taculing","Rotavirus","4","17"
"6","Bacolod City","Villamonte","Rotavirus","4","17"
"7","Cebu City","Basak San Nicolas","Rotavirus","5","17"
"7","Cebu City","Guadalupe","Rotavirus","6","17"
"7","Cebu City","Inayawan","Rotavirus","8","17"
"7","Cebu City","Mambaling","Rotavirus","6","17"
"8","Biliran","Borac","Rotavirus","3","17"
"8","Biliran","Haguikhikan","Rotavirus","3","17"
"8","Leyte","Linao","Rotavirus","4","17"
"8","Northern Samar","Kinabranan Zone Ii","Rotavirus","4","17"
"8","Northern Samar","Sabong-Tabok","Rotavirus","3","17"
"8","Northern Samar","Caglanipao","Rotavirus","3","17"
"8","Samar (Western Samar)","Bagacay","Rotavirus","4","17"
"8","Samar (Western Samar)","Cabugawan","Rotavirus","3","17"
"8","Samar (Western Samar)","Cagmanipis Norte","Rotavirus","5","17"
"8","Samar (Western Samar)","Carmen","Rotavirus","3","17"
"8","Samar (Western Samar)","Dagum","Rotavirus","3","17"
"8","Samar (Western Samar)","Hamorawon","Rotavirus","3","17"
"8","Samar (Western Samar)","Malaga","Rotavirus","4","17"
"8","Samar (Western Samar)","Bunuanan","Rotavirus","4","17"
"8","Samar (Western Samar)","Canlapwas","Rotavirus","4","17"
"8","Samar (Western Samar)","Darahuway Daco","Rotavirus","5","17"
"8","Samar (Western Samar)","Mercedes","Rotavirus","4","17"
"8","Samar (Western Samar)","Poblacion 13","Rotavirus","4","17"
"8","Samar (Western Samar)","Poblacion 9","Rotavirus","3","17"
"9","Zamboanga City","Calarian","Rotavirus","3","17"
"9","Zamboanga City","Kasanyangan","Rotavirus","3","17"
"4A","Batangas","Pagaspas","Rotavirus","3","17"
"4A","Laguna","San Antonio","Rotavirus","4","17"
"4A","Lucena City","Dalahican","Rotavirus","3","17"
"4A","Quezon","Wakas","Rotavirus","3","17"
"4A","Quezon","Cagbalete I","Rotavirus","8","17"
"4A","Quezon","Cagsiay I","Rotavirus","4","17"
"BARMM","Maguindanao","Maslabeng","Rotavirus","3","17"
"BARMM","Maguindanao","Dalican Poblacion","Rotavirus","7","17"
"NCR","City Of Manila","Barangay 105","Rotavirus","3","17"
