"Region","PHI","Barangay","Disease","No. of Cases","MW"
"2","Isabela","Centro - San Antonio","Typhoid Fever","6","19"
"3","Tarlac","San Francisco","Typhoid Fever","4","19"
"6","Iloilo","Sinuagan","Typhoid Fever","3","19"
"9","Zamboanga Del Sur","Poblacion","Typhoid Fever","3","19"
"9","Zamboanga Del Sur","Banale","Typhoid Fever","3","19"
"9","Zamboanga Del Sur","Napolan","Typhoid Fever","3","19"
"10","Bukidnon","Barobo","Typhoid Fever","4","19"
"10","Bukidnon","Batangan","Typhoid Fever","4","19"
"10","Bukidnon","Lurogan","Typhoid Fever","3","19"
"10","Bukidnon","Mailag","Typhoid Fever","3","19"
"10","Bukidnon","Poblacion","Typhoid Fever","8","19"
"10","Bukidnon","Poblacion","Typhoid Fever","3","19"
"10","Bukidnon","Dagumba-An","Typhoid Fever","4","19"
"10","Bukidnon","Dologon","Typhoid Fever","3","19"
"10","Bukidnon","North Poblacion","Typhoid Fever","4","19"
"10","Bukidnon","Poblacion","Typhoid Fever","8","19"
"10","Lanao Del Norte","Ramain","Typhoid Fever","7","19"
"11","Davao Del Norte","Tanglaw","Typhoid Fever","3","19"
"11","Davao Del Norte","Sindaton","Typhoid Fever","3","19"
"12","Sarangani","Pananag","Typhoid Fever","9","19"
"12","South Cotabato","General Paulino Santos (Bo. 1)","Typhoid Fever","3","19"
"4A","Rizal","Mayamot","Typhoid Fever","3","19"
"4B","Palawan","Tabon","Typhoid Fever","3","19"
"BARMM","Sulu","San Raymundo","Typhoid Fever","3","19"
"BARMM","Tawi-Tawi","Liyubud","Typhoid Fever","3","19"
"CAR","Abra","Palao","Typhoid Fever","3","19"
"CAR","Benguet","Loo","Typhoid Fever","5","19"
"CAR","Ifugao","Abatan","Typhoid Fever","4","19"
"CAR","Ifugao","Hapao","Typhoid Fever","6","19"
"CAR","Ifugao","Poblacion","Typhoid Fever","4","19"
"CAR","Ifugao","Ahin","Typhoid Fever","4","19"
"CAR","Ifugao","Impugong","Typhoid Fever","5","19"
"CAR","Ifugao","Tinoc","Typhoid Fever","4","19"
"NIR","Negros Occidental","Bantayan","Typhoid Fever","12","19"
"NIR","Negros Occidental","Locotan","Typhoid Fever","5","19"
"NIR","Negros Occidental","Tabugon","Typhoid Fever","3","19"
"NIR","Negros Occidental","Tagoc","Typhoid Fever","3","19"
"NIR","Negros Occidental","Tampalon","Typhoid Fever","3","19"
"NIR","Negros Occidental","Tapi","Typhoid Fever","3","19"
"NIR","Negros Occidental","Balicotoc","Typhoid Fever","3","19"
"NIR","Negros Oriental","Mandu-Ao","Typhoid Fever","5","19"
"NIR","Negros Oriental","Poblacion","Typhoid Fever","3","19"
