"Region","PHI","Barangay","Disease","No. of Cases","MW"
"IV-A","BATANGAS","MARAUOY","Severe Acute Respiratory Infection (SARI)","5","15"
"IV-A","QUEZON","BARANGAY 3","Severe Acute Respiratory Infection (SARI)","4","15"
"IV-A","QUEZON","CAMAGONG","Severe Acute Respiratory Infection (SARI)","4","15"
"IV-A","BATANGAS","SABANG","Severe Acute Respiratory Infection (SARI)","4","15"
"IV-A","QUEZON","CALIMPAK","Severe Acute Respiratory Infection (SARI)","4","15"
"IV-A","BATANGAS","BALINTAWAK","Severe Acute Respiratory Infection (SARI)","3","15"
"IV-A","BATANGAS","INOSLOBAN","Severe Acute Respiratory Infection (SARI)","3","15"
"IV-A","BATANGAS","SAN VICENTE","Severe Acute Respiratory Infection (SARI)","3","15"
"IV-A","QUEZON","BAGUIO","Severe Acute Respiratory Infection (SARI)","3","15"
"IV-A","QUEZON","CAMAYSA","Severe Acute Respiratory Infection (SARI)","3","15"
"IV-A","LAGUNA","CALIOS","Severe Acute Respiratory Infection (SARI)","3","15"
"IV-A","QUEZON","BALUBAL","Severe Acute Respiratory Infection (SARI)","3","15"
"IV-A","QUEZON","POBLACION","Severe Acute Respiratory Infection (SARI)","3","15"
