"Region","PHI","Barangay","Disease","No. of Cases","MW"
"NCR","CITY OF LAS PIÃAS","ALMANZA DOS","Measles-Rubella",3,6
"NCR","CITY OF MANILA","BARANGAY 105","Measles-Rubella",6,6
"NCR","CITY OF MANILA","BARANGAY 383","Measles-Rubella",2,6
"NCR","CITY OF MANILA","BARANGAY 635","Measles-Rubella",2,6
"NCR","CITY OF MANILA","BARANGAY 648","Measles-Rubella",16,6
"NCR","QUEZON CITY","BATASAN HILLS","Measles-Rubella",2,6
"NCR","QUEZON CITY","DAMAYANG LAGI","Measles-Rubella",2,6
"NCR","QUEZON CITY","TATALON","Measles-Rubella",5,6
"NCR","TAGUIG CITY","LIGID-TIPAS","Measles-Rubella",2,6
"CAR","BENGUET","AMBIONG","Measles-Rubella",2,6
"1","ILOCOS SUR","SUBEC","Measles-Rubella",2,6
"3","BULACAN","BOROL 1ST","Measles-Rubella",2,6
"3","BULACAN","PULONG GUBAT","Measles-Rubella",2,6
"3","BULACAN","BUISAN","Measles-Rubella",2,6
"3","BULACAN","CANIOGAN","Measles-Rubella",2,6
"3","NUEVA ECIJA","PALESTINA","Measles-Rubella",2,6
"3","ZAMBALES","SANTA BARBARA","Measles-Rubella",2,6
"4A","LAGUNA","LANGKIWA","Measles-Rubella",2,6
"4A","RIZAL","SAN LUIS","Measles-Rubella",3,6
"4A","RIZAL","SANTA CRUZ","Measles-Rubella",2,6
"4A","RIZAL","PUNTA","Measles-Rubella",5,6
"4A","RIZAL","SAN ISIDRO","Measles-Rubella",2,6
"4B","OCCIDENTAL MINDORO","BATONG BUHAY","Measles-Rubella",8,6
"4B","OCCIDENTAL MINDORO","PAETAN","Measles-Rubella",3,6
"6","ANTIQUE","FABRICA","Measles-Rubella",3,6
"NIR","NEGROS ORIENTAL","AMIO","Measles-Rubella",2,6
"NIR","SIQUIJOR","SAWANG","Measles-Rubella",2,6
"9","ZAMBOANGA CITY","CURUAN","Measles-Rubella",4,6
"9","ZAMBOANGA CITY","TALON-TALON","Measles-Rubella",4,6
"9","ZAMBOANGA DEL SUR","SAN ISIDRO","Measles-Rubella",2,6
"10","MISAMIS OCCIDENTAL","DICOLOC","Measles-Rubella",2,6
"10","MISAMIS OCCIDENTAL","KATIPA","Measles-Rubella",2,6
"11","DAVAO DEL NORTE","J.P. LAUREL","Measles-Rubella",2,6
"11","DAVAO DEL NORTE","MADAUM","Measles-Rubella",2,6
"11","DAVAO ORIENTAL","POBLACION","Measles-Rubella",2,6
"BARMM","LANAO DEL SUR","MABLE","Measles-Rubella",2,6
"BARMM","LANAO DEL SUR","NAVARRO (DATU SABER)","Measles-Rubella",3,6
"CARAGA","AGUSAN DEL NORTE","CABINET","Measles-Rubella",2,6
