"Region","PHI","Barangay","Disease","No. of Cases","MW"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","LANAO DEL SUR","BASAK MALUTLUT","Hand, Foot, and Mouth Disease","2","20"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","LANAO DEL SUR","NAVARRO","Hand, Foot, and Mouth Disease","3","20"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","LANAO DEL SUR","TUCA","Hand, Foot, and Mouth Disease","2","20"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","LANAO DEL SUR","TUCA","Hand, Foot, and Mouth Disease","2","20"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","LANAO DEL SUR","POBLACION","Hand, Foot, and Mouth Disease","2","20"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","MAGUINDANAO DEL NORTE","POBLACION","Hand, Foot, and Mouth Disease","4","20"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","SULU","BUS-BUS","Hand, Foot, and Mouth Disease","2","20"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","APAYAO","ALLIG","Hand, Foot, and Mouth Disease","2","20"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","APAYAO","BAGUTONG","Hand, Foot, and Mouth Disease","5","20"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","APAYAO","POBLACION EAST","Hand, Foot, and Mouth Disease","7","20"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","APAYAO","CAPANNIKIAN","Hand, Foot, and Mouth Disease","2","20"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","APAYAO","BAROCBOC","Hand, Foot, and Mouth Disease","2","20"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","APAYAO","IMELDA","Hand, Foot, and Mouth Disease","2","20"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","BENGUET","KAYAPA","Hand, Foot, and Mouth Disease","2","20"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","CITY OF BAGUIO","BAKAKENG CENTRAL","Hand, Foot, and Mouth Disease","2","20"
"MIMAROPA REGION","MARINDUQUE","TIGWI","Hand, Foot, and Mouth Disease","2","20"
"MIMAROPA REGION","OCCIDENTAL MINDORO","LUMANGBAYAN","Hand, Foot, and Mouth Disease","2","20"
"MIMAROPA REGION","OCCIDENTAL MINDORO","MALPALON","Hand, Foot, and Mouth Disease","4","20"
"MIMAROPA REGION","OCCIDENTAL MINDORO","NEW DAGUPAN","Hand, Foot, and Mouth Disease","4","20"
"MIMAROPA REGION","OCCIDENTAL MINDORO","POBLACION","Hand, Foot, and Mouth Disease","7","20"
"MIMAROPA REGION","OCCIDENTAL MINDORO","TANYAG","Hand, Foot, and Mouth Disease","3","20"
"MIMAROPA REGION","OCCIDENTAL MINDORO","TAYAMAAN","Hand, Foot, and Mouth Disease","3","20"
"MIMAROPA REGION","ORIENTAL MINDORO","TABON-TABON","Hand, Foot, and Mouth Disease","2","20"
"MIMAROPA REGION","ORIENTAL MINDORO","ILAYA","Hand, Foot, and Mouth Disease","2","20"
"MIMAROPA REGION","ORIENTAL MINDORO","AURORA","Hand, Foot, and Mouth Disease","4","20"
"MIMAROPA REGION","ORIENTAL MINDORO","BACUNGAN","Hand, Foot, and Mouth Disease","2","20"
"MIMAROPA REGION","ORIENTAL MINDORO","BUHANGIN","Hand, Foot, and Mouth Disease","10","20"
"MIMAROPA REGION","ORIENTAL MINDORO","MASAGANA","Hand, Foot, and Mouth Disease","2","20"
"MIMAROPA REGION","ORIENTAL MINDORO","MOTODERAZO","Hand, Foot, and Mouth Disease","4","20"
"MIMAROPA REGION","ORIENTAL MINDORO","PIÑAHAN","Hand, Foot, and Mouth Disease","5","20"
"MIMAROPA REGION","ORIENTAL MINDORO","POBLACION III","Hand, Foot, and Mouth Disease","3","20"
"MIMAROPA REGION","ORIENTAL MINDORO","SAN PEDRO","Hand, Foot, and Mouth Disease","3","20"
"MIMAROPA REGION","ORIENTAL MINDORO","BATUHAN","Hand, Foot, and Mouth Disease","2","20"
"MIMAROPA REGION","PALAWAN","INDALAWAN","Hand, Foot, and Mouth Disease","2","20"
"MIMAROPA REGION","PALAWAN","BALDAT","Hand, Foot, and Mouth Disease","2","20"
"MIMAROPA REGION","PALAWAN","NARRA","Hand, Foot, and Mouth Disease","2","20"
"MIMAROPA REGION","PALAWAN","BARANGAY IV","Hand, Foot, and Mouth Disease","2","20"
"MIMAROPA REGION","PALAWAN","NEW AGUTAYA","Hand, Foot, and Mouth Disease","2","20"
"MIMAROPA REGION","PALAWAN","PANITIAN","Hand, Foot, and Mouth Disease","2","20"
"MIMAROPA REGION","ROMBLON","BALOGO","Hand, Foot, and Mouth Disease","2","20"
"MIMAROPA REGION","ROMBLON","POBLACION","Hand, Foot, and Mouth Disease","3","20"
"MIMAROPA REGION","ROMBLON","TOGONG","Hand, Foot, and Mouth Disease","3","20"
"MIMAROPA REGION","ROMBLON","CAMBALO","Hand, Foot, and Mouth Disease","2","20"
"MIMAROPA REGION","ROMBLON","CAMBIJANG","Hand, Foot, and Mouth Disease","3","20"
"MIMAROPA REGION","ROMBLON","POBLACION","Hand, Foot, and Mouth Disease","2","20"
"MIMAROPA REGION","ROMBLON","TUBIGON","Hand, Foot, and Mouth Disease","2","20"
"MIMAROPA REGION","ROMBLON","AGNIPA","Hand, Foot, and Mouth Disease","3","20"
"MIMAROPA REGION","ROMBLON","AGPANABAT","Hand, Foot, and Mouth Disease","2","20"
"MIMAROPA REGION","ROMBLON","AGTONGO","Hand, Foot, and Mouth Disease","2","20"
"MIMAROPA REGION","ROMBLON","BAGACAY","Hand, Foot, and Mouth Disease","2","20"
"MIMAROPA REGION","ROMBLON","CAJIMOS","Hand, Foot, and Mouth Disease","2","20"
"MIMAROPA REGION","ROMBLON","POBLACION","Hand, Foot, and Mouth Disease","4","20"
"MIMAROPA REGION","ROMBLON","BONGA","Hand, Foot, and Mouth Disease","9","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF CALOOCAN","BARANGAY 171","Hand, Foot, and Mouth Disease","2","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF LAS PIÑAS","TALON SINGKO","Hand, Foot, and Mouth Disease","2","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF LAS PIÑAS","TALON UNO","Hand, Foot, and Mouth Disease","2","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF MAKATI","GUADALUPE NUEVO","Hand, Foot, and Mouth Disease","5","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF MAKATI","PIO DEL PILAR","Hand, Foot, and Mouth Disease","2","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF MAKATI","SAN ANTONIO","Hand, Foot, and Mouth Disease","2","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF MANDALUYONG","ADDITION HILLS","Hand, Foot, and Mouth Disease","2","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","BARANGAY 222","Hand, Foot, and Mouth Disease","2","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF MARIKINA","TUMANA","Hand, Foot, and Mouth Disease","2","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF MUNTINLUPA","POBLACION","Hand, Foot, and Mouth Disease","2","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF MUNTINLUPA","PUTATAN","Hand, Foot, and Mouth Disease","2","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF PASIG","MANGGAHAN","Hand, Foot, and Mouth Disease","2","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF PASIG","ROSARIO","Hand, Foot, and Mouth Disease","2","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF PASIG","SANTOLAN","Hand, Foot, and Mouth Disease","3","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF SAN JUAN","SALAPAN","Hand, Foot, and Mouth Disease","2","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF TAGUIG","BAGUMBAYAN","Hand, Foot, and Mouth Disease","2","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF TAGUIG","CENTRAL BICUTAN","Hand, Foot, and Mouth Disease","3","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF TAGUIG","HAGONOY","Hand, Foot, and Mouth Disease","4","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF TAGUIG","KATUPARAN","Hand, Foot, and Mouth Disease","2","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF TAGUIG","LOWER BICUTAN","Hand, Foot, and Mouth Disease","3","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF TAGUIG","NAPINDAN","Hand, Foot, and Mouth Disease","2","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF TAGUIG","NEW LOWER BICUTAN","Hand, Foot, and Mouth Disease","3","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF TAGUIG","SOUTH DAANG HARI","Hand, Foot, and Mouth Disease","2","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF TAGUIG","TANYAG","Hand, Foot, and Mouth Disease","3","20"
"NATIONAL CAPITAL REGION (NCR)","CITY OF TAGUIG","UPPER BICUTAN","Hand, Foot, and Mouth Disease","2","20"
"NATIONAL CAPITAL REGION (NCR)","PASAY CITY","BARANGAY 130","Hand, Foot, and Mouth Disease","2","20"
"NATIONAL CAPITAL REGION (NCR)","QUEZON CITY","BAGONG SILANGAN","Hand, Foot, and Mouth Disease","2","20"
"NATIONAL CAPITAL REGION (NCR)","QUEZON CITY","TANDANG SORA","Hand, Foot, and Mouth Disease","2","20"
"NATIONAL CAPITAL REGION (NCR)","QUEZON CITY","U.P. CAMPUS","Hand, Foot, and Mouth Disease","2","20"
"NEGROS ISLAND REGION (NIR)","CITY OF BACOLOD","VILLAMONTE","Hand, Foot, and Mouth Disease","2","20"
"NEGROS ISLAND REGION (NIR)","CITY OF BACOLOD","VISTA ALEGRE","Hand, Foot, and Mouth Disease","2","20"
"NEGROS ISLAND REGION (NIR)","NEGROS OCCIDENTAL","TUYOM","Hand, Foot, and Mouth Disease","2","20"
"NEGROS ISLAND REGION (NIR)","NEGROS OCCIDENTAL","BUSAY","Hand, Foot, and Mouth Disease","3","20"
"NEGROS ISLAND REGION (NIR)","NEGROS OCCIDENTAL","CALUMANGAN","Hand, Foot, and Mouth Disease","4","20"
"NEGROS ISLAND REGION (NIR)","NEGROS OCCIDENTAL","LAG-ASAN","Hand, Foot, and Mouth Disease","4","20"
"NEGROS ISLAND REGION (NIR)","NEGROS OCCIDENTAL","MALINGIN","Hand, Foot, and Mouth Disease","2","20"
"NEGROS ISLAND REGION (NIR)","NEGROS OCCIDENTAL","PACOL","Hand, Foot, and Mouth Disease","3","20"
"NEGROS ISLAND REGION (NIR)","NEGROS OCCIDENTAL","POBLACION","Hand, Foot, and Mouth Disease","4","20"
