"Region","PHI","Barangay","Disease","No. of Cases","MW"
"1","Ilocos Sur","Calongbuyan","Typhoid","3","15"
"2","City Of Santiago","Plaridel","Typhoid","4","15"
"2","City Of Santiago","Victory Norte","Typhoid","3","15"
"2","Isabela","Cullalabo San Antonio","Typhoid","3","15"
"2","Nueva Vizcaya","Kongkong","Typhoid","3","15"
"3","Nueva Ecija","Burgos","Typhoid","3","15"
"3","Tarlac","Santa Lucia","Typhoid","3","15"
"6","Aklan","Andagaw","Typhoid","3","15"
"7","Bohol","Mahanay","Typhoid","3","15"
"7","Bohol","Poblacion","Typhoid","3","15"
"9","City Of Isabela","Sumagdang","Typhoid","4","15"
"9","Zamboanga Del Sur","Mabuhay","Typhoid","3","15"
"9","Zamboanga Del Sur","Poblacion","Typhoid","10","15"
"10","Bukidnon","Bagontaas","Typhoid","3","15"
"10","Bukidnon","Poblacion","Typhoid","4","15"
"10","Bukidnon","Tongantongan","Typhoid","3","15"
"10","Bukidnon","Kibatang","Typhoid","3","15"
"10","Bukidnon","Anahawon","Typhoid","3","15"
"10","Bukidnon","South Poblacion","Typhoid","5","15"
"10","Bukidnon","Madaya","Typhoid","4","15"
"10","Bukidnon","Poblacion","Typhoid","7","15"
"10","Cagayan De Oro City","Carmen","Typhoid","3","15"
"10","Lanao Del Norte","Ramain","Typhoid","7","15"
"12","Sultan Kudarat","Katico","Typhoid","3","15"
"12","Sultan Kudarat","Romualdez","Typhoid","3","15"
"4A","Rizal","San Guillermo","Typhoid","3","15"
"4B","Occidental Mindoro","Payompon","Typhoid","4","15"
"4B","Palawan","Rio Tuba","Typhoid","3","15"
"4B","Palawan","Pangobilian","Typhoid","4","15"
"4B","Palawan","Taritien","Typhoid","3","15"
"BARMM","Sulu","Bus-Bus","Typhoid","4","15"
"CAR","Abra","Naguirayan","Typhoid","3","15"
"CAR","Benguet","Loo","Typhoid","8","15"
"CAR","Benguet","Poblacion (Central)","Typhoid","3","15"
"CAR","Benguet","Balili","Typhoid","6","15"
"CAR","Ifugao","Bokiawan","Typhoid","4","15"
"CAR","Ifugao","Hapao","Typhoid","4","15"
"CAR","Ifugao","Poblacion","Typhoid","3","15"
"NIR","Negros Occidental","Poblacion","Typhoid","3","15"
"NIR","Negros Occidental","Bantayan","Typhoid","25","15"
"NIR","Negros Occidental","Tabugon","Typhoid","6","15"
"NIR","Negros Occidental","Tapi","Typhoid","16","15"
