"Region","PHI","Barangay","Disease","No. of Cases","MW"
"1","La Union","Catbangen","Typhoid","4","6"
"2","City Of Santiago","Rosario","Typhoid","3","6"
"2","Isabela","Calaocan (Pob.)","Typhoid","5","6"
"3","Tarlac","Maliwalo","Typhoid","3","6"
"5","Catanduanes","Buyo","Typhoid","3","6"
"6","Aklan","Pook","Typhoid","3","6"
"6","Aklan","Caticlan","Typhoid","3","6"
"6","Aklan","Poblacion","Typhoid","4","6"
"7","Cebu","Budbud","Typhoid","6","6"
"7","Cebu","Gunting","Typhoid","38","6"
"7","Cebu City","Guadalupe","Typhoid","5","6"
"9","City Of Isabela","Aguada","Typhoid","7","6"
"9","City Of Isabela","Kaumpurnah Zone Iii","Typhoid","3","6"
"9","City Of Isabela","La Piedad (Pob.)","Typhoid","3","6"
"9","City Of Isabela","Lanote","Typhoid","3","6"
"9","City Of Isabela","San Rafael","Typhoid","3","6"
"9","City Of Isabela","Sumagdang","Typhoid","3","6"
"10","Bukidnon","Batangan","Typhoid","6","6"
"10","Bukidnon","Lumbo","Typhoid","3","6"
"10","Bukidnon","Poblacion","Typhoid","5","6"
"10","Bukidnon","Sinayawan","Typhoid","5","6"
"10","Bukidnon","North Poblacion","Typhoid","3","6"
"10","Bukidnon","South Poblacion","Typhoid","5","6"
"10","Bukidnon","Poblacion","Typhoid","4","6"
"10","Bukidnon","Poblacion (Kiokong)","Typhoid","3","6"
"11","Davao Del Norte","Tanglaw","Typhoid","10","6"
"12","General Santos City (Dadiangas)","Mabuhay","Typhoid","4","6"
"4A","Cavite","Malagasang Ii-B","Typhoid","5","6"
"4A","Rizal","Mayamot","Typhoid","3","6"
"4A","Rizal","Bagumbayan (Pob.)","Typhoid","3","6"
"4B","Oriental Mindoro","Nasukob (Pob.)","Typhoid","3","6"
"4B","Palawan","Rio Tuba","Typhoid","4","6"
"4B","Palawan","Poblacion Ii","Typhoid","3","6"
"4B","Palawan","Salogon","Typhoid","3","6"
"4B","Palawan","Samare̱ana","Typhoid","3","6"
"4B","Palawan","Antipuluan","Typhoid","5","6"
"4B","Palawan","Malinao","Typhoid","4","6"
"4B","Palawan","Narra (Pob.)","Typhoid","4","6"
"4B","Palawan","Princess Urduja","Typhoid","6","6"
"4B","Palawan","Punta Baja","Typhoid","7","6"
"4B","Palawan","Panitian","Typhoid","4","6"
"4B","Palawan","Pulot Center","Typhoid","3","6"
"BARMM","Lanao Del Sur","Patani","Typhoid","3","6"
"BARMM","Sulu","Bus-Bus","Typhoid","3","6"
"CAR","Ifugao","Namillangan","Typhoid","3","6"
"CAR","Ifugao","Santa Maria","Typhoid","6","6"
"CAR","Ifugao","Amduntog","Typhoid","4","6"
"CAR","Ifugao","Hapao","Typhoid","7","6"
"CAR","Ifugao","Poblacion","Typhoid","3","6"
"CAR","Ifugao","Bato-Alatbang","Typhoid","3","6"
"CAR","Ifugao","Impugong","Typhoid","3","6"
"CAR","Ifugao","Tinoc","Typhoid","3","6"
"CAR","Mountain Province","Fiangtin","Typhoid","5","6"
"CARAGA","Agusan Del Sur","San Teodoro","Typhoid","6","6"
"CARAGA","Surigao Del Sur","Mangagoy","Typhoid","3","6"
"CARAGA","Surigao Del Sur","Tabon","Typhoid","3","6"
"NIR","Negros Occidental","Bantayan","Typhoid","10","6"
"NIR","Negros Occidental","Tabugon","Typhoid","3","6"
"NIR","Negros Occidental","Nanunga","Typhoid","3","6"
"NIR","Negros Occidental","Alim","Typhoid","3","6"
"NIR","Negros Occidental","Bacuyangan","Typhoid","4","6"
"NIR","Negros Occidental","Talacagay","Typhoid","3","6"
"NIR","Negros Occidental","Buluangan","Typhoid","3","6"
"NIR","Negros Oriental","Buenavista","Typhoid","3","6"
"NIR","Negros Oriental","Poblacion","Typhoid","4","6"
"NIR","Negros Oriental","Old Namangka","Typhoid","3","6"
