"Region","PHI","Barangay","Disease","No. of Cases","MW"
"2","City Of Santiago","Plaridel","Typhoid Fever","4","16"
"3","Tarlac","Santa Lucia","Typhoid Fever","3","16"
"3","Tarlac","San Francisco","Typhoid Fever","3","16"
"9","City Of Isabela","Sumagdang","Typhoid Fever","4","16"
"9","Zamboanga Del Sur","Poblacion","Typhoid Fever","6","16"
"10","Bukidnon","Bagontaas","Typhoid Fever","3","16"
"10","Bukidnon","Poblacion","Typhoid Fever","6","16"
"10","Bukidnon","Kibatang","Typhoid Fever","3","16"
"10","Bukidnon","South Poblacion","Typhoid Fever","4","16"
"10","Bukidnon","Bacusanon","Typhoid Fever","4","16"
"10","Bukidnon","Poblacion","Typhoid Fever","4","16"
"10","Cagayan De Oro City","Carmen","Typhoid Fever","3","16"
"10","Lanao Del Norte","Ramain","Typhoid Fever","8","16"
"11","Davao Del Norte","Tanglaw","Typhoid Fever","4","16"
"4A","Rizal","San Guillermo","Typhoid Fever","3","16"
"4B","Occidental Mindoro","Payompon","Typhoid Fever","3","16"
"4B","Palawan","Pangobilian","Typhoid Fever","3","16"
"BARMM","Cotabato City","Rosary Heights Iii","Typhoid Fever","3","16"
"BARMM","Sulu","Bus-Bus","Typhoid Fever","4","16"
"CAR","Abra","Naguirayan","Typhoid Fever","3","16"
"CAR","Benguet","Loo","Typhoid Fever","8","16"
"CAR","Benguet","Poblacion (Central)","Typhoid Fever","4","16"
"CAR","Benguet","Balili","Typhoid Fever","6","16"
"CAR","Ifugao","Hapao","Typhoid Fever","3","16"
"CAR","Ifugao","Poblacion","Typhoid Fever","4","16"
"NIR","Negros Occidental","Bantayan","Typhoid Fever","27","16"
"NIR","Negros Occidental","Locotan","Typhoid Fever","4","16"
"NIR","Negros Occidental","Tabugon","Typhoid Fever","8","16"
"NIR","Negros Occidental","Tapi","Typhoid Fever","16","16"
