"Region","PHI","Barangay","Disease","No. of Cases","MW"
"3","Bataan","Camaya","Acute Bloody Diarrhea (ABD)","3","6"
"7","Bohol","San Francisco","Acute Bloody Diarrhea (ABD)","3","6"
"7","Bohol","San Jose","Acute Bloody Diarrhea (ABD)","4","6"
"7","Cebu","Abucayan","Acute Bloody Diarrhea (ABD)","3","6"
"7","Lapu-Lapu City (Opon)","Basak","Acute Bloody Diarrhea (ABD)","4","6"
"7","Lapu-Lapu City (Opon)","Gun-Ob","Acute Bloody Diarrhea (ABD)","3","6"
"7","Lapu-Lapu City (Opon)","Punta Enga̱o","Acute Bloody Diarrhea (ABD)","3","6"
"9","City Of Isabela","Aguada","Acute Bloody Diarrhea (ABD)","6","6"
"9","City Of Isabela","Diki","Acute Bloody Diarrhea (ABD)","4","6"
"9","City Of Isabela","Kaumpurnah Zone Ii","Acute Bloody Diarrhea (ABD)","3","6"
"9","City Of Isabela","Menzi","Acute Bloody Diarrhea (ABD)","4","6"
"9","City Of Isabela","Sumagdang","Acute Bloody Diarrhea (ABD)","4","6"
"9","City Of Isabela","Tabuk (Pob.)","Acute Bloody Diarrhea (ABD)","6","6"
"9","City Of Isabela","Tampalan","Acute Bloody Diarrhea (ABD)","6","6"
"9","Zamboanga Sibugay","Naga-Naga","Acute Bloody Diarrhea (ABD)","4","6"
"9","Zamboanga Sibugay","Payongan","Acute Bloody Diarrhea (ABD)","4","6"
"9","Zamboanga Sibugay","Poblacion","Acute Bloody Diarrhea (ABD)","3","6"
"10","Bukidnon","Kulasihan","Acute Bloody Diarrhea (ABD)","3","6"
"11","Davao Del Norte","Visayan Village","Acute Bloody Diarrhea (ABD)","3","6"
"4A","Laguna","Tagapo","Acute Bloody Diarrhea (ABD)","4","6"
"BARMM","Tawi-Tawi","Taungoh","Acute Bloody Diarrhea (ABD)","3","6"
"CAR","Benguet","Poblacion (Central)","Acute Bloody Diarrhea (ABD)","3","6"
"CARAGA","Agusan Del Norte","Del Pilar","Acute Bloody Diarrhea (ABD)","3","6"
"NCR","Pasay City","Barangay 76","Acute Bloody Diarrhea (ABD)","3","6"
"NIR","Negros Occidental","Barangay 2 (Pob.)","Acute Bloody Diarrhea (ABD)","3","6"
"NIR","Negros Occidental","San Jose","Acute Bloody Diarrhea (ABD)","3","6"
