"Region","PHI","Barangay","Disease","No. of Cases","MW"
"2","Nueva Vizcaya","Villaros","Rotavirus","3","19"
"2","Nueva Vizcaya","Vista Alegre","Rotavirus","3","19"
"3","Aurora","Caragsacan","Rotavirus","6","19"
"3","Aurora","Paltic","Rotavirus","3","19"
"3","Pampanga","San Matias","Rotavirus","3","19"
"6","Bacolod City","Banago","Rotavirus","7","19"
"6","Bacolod City","Barangay 16","Rotavirus","5","19"
"6","Bacolod City","Handumanan","Rotavirus","3","19"
"6","Bacolod City","Sum-Ag","Rotavirus","4","19"
"6","Bacolod City","Taculing","Rotavirus","4","19"
"6","Bacolod City","Tangub","Rotavirus","3","19"
"6","Bacolod City","Villamonte","Rotavirus","3","19"
"7","Cebu City","Basak Pardo","Rotavirus","3","19"
"7","Cebu City","Buhisan","Rotavirus","3","19"
"7","Cebu City","Inayawan","Rotavirus","6","19"
"7","Cebu City","Mambaling","Rotavirus","5","19"
"7","Cebu City","Tisa","Rotavirus","3","19"
"8","Biliran","San Pablo","Rotavirus","4","19"
"8","Eastern Samar","Benowangan","Rotavirus","3","19"
"8","Leyte","Inalad","Rotavirus","5","19"
"8","Northern Samar","Sabong-Tabok","Rotavirus","3","19"
"8","Samar (Western Samar)","Bagacay","Rotavirus","4","19"
"8","Samar (Western Samar)","Cagmanipis Norte","Rotavirus","5","19"
"8","Samar (Western Samar)","Carayman","Rotavirus","8","19"
"8","Samar (Western Samar)","Hamorawon","Rotavirus","3","19"
"8","Samar (Western Samar)","Malaga","Rotavirus","4","19"
"8","Samar (Western Samar)","Migara","Rotavirus","3","19"
"8","Samar (Western Samar)","Obrero","Rotavirus","3","19"
"8","Samar (Western Samar)","San Joaquin","Rotavirus","3","19"
"8","Samar (Western Samar)","Mercedes","Rotavirus","5","19"
"8","Samar (Western Samar)","Poblacion 13","Rotavirus","4","19"
"8","Samar (Western Samar)","So-Ong","Rotavirus","4","19"
"8","Samar (Western Samar)","Monbon","Rotavirus","3","19"
"8","Tacloban City","Barangay 97","Rotavirus","4","19"
"4A","Laguna","San Antonio","Rotavirus","3","19"
"4A","Lucena City","Cotta","Rotavirus","3","19"
"4A","Lucena City","Dalahican","Rotavirus","4","19"
"4A","Lucena City","Ibabang Dupay","Rotavirus","8","19"
"4A","Quezon","Dapdap","Rotavirus","3","19"
"4A","Quezon","Opias","Rotavirus","4","19"
"4A","Quezon","Wakas","Rotavirus","4","19"
"4A","Quezon","Bagong Bayan","Rotavirus","4","19"
"4A","Quezon","Balaybalay","Rotavirus","3","19"
"4A","Quezon","Cagbalete I","Rotavirus","8","19"
"4A","Quezon","Cagsiay I","Rotavirus","3","19"
"4A","Quezon","Lual Rural","Rotavirus","5","19"
"4A","Quezon","Sadsaran","Rotavirus","3","19"
"4A","Quezon","Soledad","Rotavirus","3","19"
"4A","Quezon","Mapagong","Rotavirus","3","19"
"4B","Puerto Princesa City","Bancao-Bancao","Rotavirus","4","19"
"4B","Puerto Princesa City","Tagburos","Rotavirus","3","19"
"BARMM","Cotabato City","Kalanganan","Rotavirus","3","19"
"BARMM","Cotabato City","Poblacion Vii","Rotavirus","4","19"
"BARMM","Maguindanao","Dalican Poblacion","Rotavirus","5","19"
"BARMM","Maguindanao","Makir","Rotavirus","4","19"
"BARMM","Maguindanao","Taviran","Rotavirus","3","19"
"NCR","City Of Manila","Barangay 105","Rotavirus","3","19"
