"Region","PHI","Barangay","Disease","No. of Cases","MW"
"2","City Of Santiago","Plaridel","Typhoid Fever","3","17"
"2","City Of Santiago","Rosario","Typhoid Fever","3","17"
"3","Tarlac","San Francisco","Typhoid Fever","4","17"
"9","City Of Isabela","Tabuk (Pob.)","Typhoid Fever","3","17"
"9","City Of Isabela","Tampalan","Typhoid Fever","5","17"
"9","Zamboanga Del Sur","Poblacion","Typhoid Fever","4","17"
"9","Zamboanga Del Sur","Banale","Typhoid Fever","4","17"
"9","Zamboanga Del Sur","Poblacion","Typhoid Fever","4","17"
"10","Bukidnon","Poblacion","Typhoid Fever","5","17"
"10","Bukidnon","Kibatang","Typhoid Fever","3","17"
"10","Bukidnon","Poblacion","Typhoid Fever","3","17"
"10","Bukidnon","Dagumba-An","Typhoid Fever","3","17"
"10","Bukidnon","South Poblacion","Typhoid Fever","5","17"
"10","Bukidnon","Bacusanon","Typhoid Fever","3","17"
"10","Bukidnon","Poblacion","Typhoid Fever","7","17"
"10","Lanao Del Norte","Poblacion","Typhoid Fever","3","17"
"10","Lanao Del Norte","Ramain","Typhoid Fever","4","17"
"11","Davao Del Norte","Tanglaw","Typhoid Fever","6","17"
"12","Sarangani","Pananag","Typhoid Fever","8","17"
"12","Sultan Kudarat","Romualdez","Typhoid Fever","4","17"
"4B","Palawan","Pangobilian","Typhoid Fever","3","17"
"BARMM","Cotabato City","Rosary Heights Iii","Typhoid Fever","3","17"
"BARMM","Sulu","Bus-Bus","Typhoid Fever","3","17"
"CAR","Abra","Naguirayan","Typhoid Fever","3","17"
"CAR","Baguio City","Irisan","Typhoid Fever","3","17"
"CAR","Benguet","Loo","Typhoid Fever","5","17"
"CAR","Benguet","Poblacion (Central)","Typhoid Fever","3","17"
"CAR","Ifugao","Ba-Ang","Typhoid Fever","3","17"
"CAR","Ifugao","Hapao","Typhoid Fever","4","17"
"CAR","Ifugao","Poblacion","Typhoid Fever","4","17"
"CAR","Ifugao","Ahin","Typhoid Fever","3","17"
"CARAGA","Surigao Del Sur","Tabon","Typhoid Fever","3","17"
"NIR","Negros Occidental","Bantayan","Typhoid Fever","30","17"
"NIR","Negros Occidental","Locotan","Typhoid Fever","5","17"
"NIR","Negros Occidental","Tabugon","Typhoid Fever","7","17"
"NIR","Negros Occidental","Tagoc","Typhoid Fever","4","17"
"NIR","Negros Occidental","Tampalon","Typhoid Fever","3","17"
"NIR","Negros Occidental","Tapi","Typhoid Fever","9","17"
