"Region","PHI","Barangay","Disease","No. of Cases","MW"
"1","ILOCOS SUR","TAMAG","Measles-Rubella","2","16"
"1","PANGASINAN","BARANGAY A (POB.)","Measles-Rubella","2","16"
"2","ISABELA","SAN FERMIN","Measles-Rubella","2","16"
"3","BULACAN","SULUCAN","Measles-Rubella","2","16"
"3","BULACAN","BAYUGO","Measles-Rubella","2","16"
"3","BULACAN","MALHACAN","Measles-Rubella","3","16"
"3","BULACAN","PANDAYAN","Measles-Rubella","2","16"
"3","BULACAN","LOMA DE GATO","Measles-Rubella","2","16"
"3","BULACAN","PRENZA I","Measles-Rubella","3","16"
"9","CITY OF ISABELA","TAMPALAN","Measles-Rubella","2","16"
"9","ZAMBOANGA CITY","MERCEDES","Measles-Rubella","2","16"
"9","ZAMBOANGA DEL SUR","LOWER SANG-AN","Measles-Rubella","2","16"
"9","ZAMBOANGA DEL SUR","DUMAGOC","Measles-Rubella","2","16"
"10","LANAO DEL NORTE","POBLACION","Measles-Rubella","2","16"
"10","LANAO DEL NORTE","OLD POBLACION","Measles-Rubella","2","16"
"10","LANAO DEL NORTE","SANDIGAMUNAI","Measles-Rubella","3","16"
"10","LANAO DEL NORTE","TAMBO","Measles-Rubella","6","16"
"10","MISAMIS ORIENTAL","POBLACION","Measles-Rubella","3","16"
"11","DAVAO DEL SUR","TIGUMAN","Measles-Rubella","2","16"
"11","DAVAO ORIENTAL","POBLACION","Measles-Rubella","2","16"
"12","GENERAL SANTOS CITY (DADIANGAS)","SAN ISIDRO (LAGAO 2ND)","Measles-Rubella","2","16"
"12","SARANGANI","ALEGRIA","Measles-Rubella","2","16"
"12","SULTAN KUDARAT","ALA","Measles-Rubella","2","16"
"4A","BATANGAS","NATATAS","Measles-Rubella","2","16"
"4A","CAVITE","JAVALERA","Measles-Rubella","3","16"
"4A","CAVITE","MANGGAHAN","Measles-Rubella","3","16"
"4A","CAVITE","BUNGA","Measles-Rubella","4","16"
"4A","CAVITE","CABUCO","Measles-Rubella","3","16"
"4A","RIZAL","SAN JOSE","Measles-Rubella","3","16"
"4A","RIZAL","BANABA","Measles-Rubella","3","16"
"BARMM","SULU","TULAY","Measles-Rubella","2","16"
"BARMM","TAWI-TAWI","SIKULLIS","Measles-Rubella","2","16"
