"Region","PHI","Barangay","Disease","No. of Cases","MW"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","BASILAN","BULANTING","Hand, Foot, and Mouth Disease","2","17"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","LANAO DEL SUR","RAPASUN MSU","Hand, Foot, and Mouth Disease","2","17"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","MAGUINDANAO DEL SUR","MALATIMON","Hand, Foot, and Mouth Disease","2","17"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","SULU","BUS-BUS","Hand, Foot, and Mouth Disease","5","17"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","SULU","SAN RAYMUNDO","Hand, Foot, and Mouth Disease","2","17"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","SULU","TAKUT-TAKUT","Hand, Foot, and Mouth Disease","2","17"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","TAWI-TAWI","MALANTA","Hand, Foot, and Mouth Disease","2","17"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","TAWI-TAWI","PAMASAN","Hand, Foot, and Mouth Disease","2","17"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","TAWI-TAWI","SAPA-SAPA","Hand, Foot, and Mouth Disease","3","17"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","APAYAO","POBLACION","Hand, Foot, and Mouth Disease","2","17"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","APAYAO","BAROCBOC","Hand, Foot, and Mouth Disease","11","17"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","BENGUET","LOACAN","Hand, Foot, and Mouth Disease","2","17"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","BENGUET","POBLACION","Hand, Foot, and Mouth Disease","2","17"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","BENGUET","TALOY SUR","Hand, Foot, and Mouth Disease","3","17"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","CITY OF BAGUIO","SANTO TOMAS PROPER","Hand, Foot, and Mouth Disease","2","17"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","IFUGAO","NUNGAWA","Hand, Foot, and Mouth Disease","2","17"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","MOUNTAIN PROVINCE","TONGLAYAN","Hand, Foot, and Mouth Disease","2","17"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","MOUNTAIN PROVINCE","BANTAY","Hand, Foot, and Mouth Disease","3","17"
"MIMAROPA REGION","CITY OF PUERTO PRINCESA","LUZVIMINDA","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","MARINDUQUE","LAYLAY","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","MARINDUQUE","BICAS-BICAS","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","MARINDUQUE","HINADHARAN","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","MARINDUQUE","BOTILAO","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","OCCIDENTAL MINDORO","NEW DAGUPAN","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","OCCIDENTAL MINDORO","POBLACION","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","OCCIDENTAL MINDORO","TANYAG","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","OCCIDENTAL MINDORO","TAYAMAAN","Hand, Foot, and Mouth Disease","3","17"
"MIMAROPA REGION","OCCIDENTAL MINDORO","BARAHAN","Hand, Foot, and Mouth Disease","4","17"
"MIMAROPA REGION","OCCIDENTAL MINDORO","CASAGUE","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","OCCIDENTAL MINDORO","KURTINGANAN","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","OCCIDENTAL MINDORO","LUMANGBAYAN","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","OCCIDENTAL MINDORO","POBLACION II","Hand, Foot, and Mouth Disease","5","17"
"MIMAROPA REGION","ORIENTAL MINDORO","BANGKATAN","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","ORIENTAL MINDORO","BARAS","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","ORIENTAL MINDORO","BAYANAN","Hand, Foot, and Mouth Disease","3","17"
"MIMAROPA REGION","ORIENTAL MINDORO","CATWIRAN II","Hand, Foot, and Mouth Disease","3","17"
"MIMAROPA REGION","ORIENTAL MINDORO","MANGANGAN I","Hand, Foot, and Mouth Disease","5","17"
"MIMAROPA REGION","ORIENTAL MINDORO","MAYABIG","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","ORIENTAL MINDORO","HAGUPIT","Hand, Foot, and Mouth Disease","17","17"
"MIMAROPA REGION","ORIENTAL MINDORO","AURORA","Hand, Foot, and Mouth Disease","5","17"
"MIMAROPA REGION","ORIENTAL MINDORO","BARCENAGA","Hand, Foot, and Mouth Disease","13","17"
"MIMAROPA REGION","ORIENTAL MINDORO","MASAGANA","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","ORIENTAL MINDORO","MELGAR B","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","ORIENTAL MINDORO","NAG-IBA II","Hand, Foot, and Mouth Disease","7","17"
"MIMAROPA REGION","ORIENTAL MINDORO","PIÑAHAN","Hand, Foot, and Mouth Disease","7","17"
"MIMAROPA REGION","ORIENTAL MINDORO","SAN PEDRO","Hand, Foot, and Mouth Disease","5","17"
"MIMAROPA REGION","ORIENTAL MINDORO","BIGAAN","Hand, Foot, and Mouth Disease","3","17"
"MIMAROPA REGION","PALAWAN","RABOR","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","PALAWAN","SALANG","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","PALAWAN","CATADMAN","Hand, Foot, and Mouth Disease","3","17"
"MIMAROPA REGION","PALAWAN","LUBID","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","PALAWAN","MANAMOC","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","PALAWAN","DUMARAN","Hand, Foot, and Mouth Disease","4","17"
"MIMAROPA REGION","PALAWAN","BALAGUEN","Hand, Foot, and Mouth Disease","5","17"
"MIMAROPA REGION","PALAWAN","IGABAS","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","PALAWAN","RIZAL","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","PALAWAN","NARRA","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","PALAWAN","ALFONSO XIII","Hand, Foot, and Mouth Disease","3","17"
"MIMAROPA REGION","ROMBLON","BANICE","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","ROMBLON","HAMBI-AN","Hand, Foot, and Mouth Disease","8","17"
"MIMAROPA REGION","ROMBLON","MAINIT","Hand, Foot, and Mouth Disease","3","17"
"MIMAROPA REGION","ROMBLON","POBLACION","Hand, Foot, and Mouth Disease","9","17"
"MIMAROPA REGION","ROMBLON","TAN-AG","Hand, Foot, and Mouth Disease","9","17"
"MIMAROPA REGION","ROMBLON","TOCTOC","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","ROMBLON","TOGONG","Hand, Foot, and Mouth Disease","3","17"
"MIMAROPA REGION","ROMBLON","TUNGONAN","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","ROMBLON","CAMBAJAO","Hand, Foot, and Mouth Disease","3","17"
"MIMAROPA REGION","ROMBLON","POBLACION","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","ROMBLON","POBLACION","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","ROMBLON","AGUTAY","Hand, Foot, and Mouth Disease","4","17"
"MIMAROPA REGION","ROMBLON","SILUM","Hand, Foot, and Mouth Disease","3","17"
"MIMAROPA REGION","ROMBLON","PROGRESO ESTE","Hand, Foot, and Mouth Disease","3","17"
"MIMAROPA REGION","ROMBLON","AGBUDIA","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","ROMBLON","BAGACAY","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","ROMBLON","CAJIMOS","Hand, Foot, and Mouth Disease","3","17"
"MIMAROPA REGION","ROMBLON","DOÑA JUANA","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","ROMBLON","POBLACION","Hand, Foot, and Mouth Disease","2","17"
"MIMAROPA REGION","ROMBLON","CONCEPCION NORTE","Hand, Foot, and Mouth Disease","4","17"
"NATIONAL CAPITAL REGION (NCR)","CITY OF LAS PIÑAS","PILAR","Hand, Foot, and Mouth Disease","2","17"
"NATIONAL CAPITAL REGION (NCR)","CITY OF LAS PIÑAS","TALON UNO","Hand, Foot, and Mouth Disease","2","17"
"NATIONAL CAPITAL REGION (NCR)","CITY OF MAKATI","GUADALUPE NUEVO","Hand, Foot, and Mouth Disease","2","17"
"NATIONAL CAPITAL REGION (NCR)","CITY OF MAKATI","SINGKAMAS","Hand, Foot, and Mouth Disease","6","17"
"NATIONAL CAPITAL REGION (NCR)","CITY OF MANDALUYONG","ADDITION HILLS","Hand, Foot, and Mouth Disease","3","17"
