"Region","PHI","Barangay","Disease","No. of Cases","MW"
"2","Nueva Vizcaya","Baretbet","Rotavirus","3","23"
"2","Nueva Vizcaya","Quirino","Rotavirus","3","23"
"2","Nueva Vizcaya","Magsaysay","Rotavirus","4","23"
"2","Nueva Vizcaya","Caliat","Rotavirus","3","23"
"2","Nueva Vizcaya","Darubba","Rotavirus","3","23"
"2","Nueva Vizcaya","Runruno","Rotavirus","5","23"
"2","Nueva Vizcaya","Bagahabag","Rotavirus","4","23"
"2","Nueva Vizcaya","Bascaran","Rotavirus","3","23"
"2","Nueva Vizcaya","Roxas","Rotavirus","3","23"
"2","Nueva Vizcaya","Sawmill","Rotavirus","3","23"
"3","Pampanga","Santa Lucia","Rotavirus","3","23"
"3","Pampanga","San Vicente","Rotavirus","3","23"
"6","Bacolod City","Banago","Rotavirus","3","23"
"6","Bacolod City","Barangay 30","Rotavirus","3","23"
"6","Bacolod City","Handumanan","Rotavirus","3","23"
"6","Bacolod City","Mandalagan","Rotavirus","4","23"
"6","Bacolod City","Singcang-Airport","Rotavirus","6","23"
"6","Bacolod City","Taculing","Rotavirus","3","23"
"6","Bacolod City","Vista Alegre","Rotavirus","5","23"
"7","Cebu City","Basak San Nicolas","Rotavirus","4","23"
"7","Cebu City","Guadalupe","Rotavirus","4","23"
"7","Cebu City","Inayawan","Rotavirus","3","23"
"7","Cebu City","Pasil","Rotavirus","3","23"
"8","Northern Samar","Bobolosan","Rotavirus","4","23"
"8","Northern Samar","Sabong-Tabok","Rotavirus","3","23"
"8","Northern Samar","Alegria","Rotavirus","3","23"
"8","Northern Samar","Palanit","Rotavirus","6","23"
"8","Northern Samar","Veriato","Rotavirus","4","23"
"8","Samar (Western Samar)","Aguit-Itan","Rotavirus","3","23"
"8","Samar (Western Samar)","Carayman","Rotavirus","5","23"
"8","Samar (Western Samar)","San Policarpo","Rotavirus","3","23"
"8","Samar (Western Samar)","Canlapwas","Rotavirus","4","23"
"8","Samar (Western Samar)","Mercedes","Rotavirus","6","23"
"8","Samar (Western Samar)","Malihao","Rotavirus","4","23"
"8","Samar (Western Samar)","Mugdo","Rotavirus","3","23"
"8","Samar (Western Samar)","Rawis","Rotavirus","3","23"
"8","Samar (Western Samar)","Sapinit","Rotavirus","4","23"
"8","Southern Leyte","Guinsaugon","Rotavirus","4","23"
"4A","Cavite","Buho","Rotavirus","3","23"
"4A","Laguna","Langgam","Rotavirus","3","23"
"4A","Laguna","Maytoong","Rotavirus","4","23"
"4A","Quezon","Bagong Bayan","Rotavirus","7","23"
"4A","Quezon","Cagbalete I","Rotavirus","10","23"
"4A","Quezon","Cagsiay I","Rotavirus","4","23"
"4A","Quezon","Lual Rural","Rotavirus","3","23"
"4A","Quezon","San Lorenzo","Rotavirus","3","23"
"4A","Quezon","Soledad","Rotavirus","3","23"
"4A","Quezon","Pinagtubigan Este","Rotavirus","3","23"
"4A","Quezon","Guinhawa","Rotavirus","4","23"
"4B","Puerto Princesa City","San Pedro","Rotavirus","3","23"
"4B","Puerto Princesa City","Santa Monica","Rotavirus","3","23"
"BARMM","Maguindanao","Awang","Rotavirus","4","23"
"BARMM","Maguindanao","Dalican Poblacion","Rotavirus","7","23"
"BARMM","Maguindanao","Makir","Rotavirus","5","23"
"BARMM","Maguindanao","Sapalan","Rotavirus","3","23"
"CAR","Baguio City","Irisan","Rotavirus","3","23"
"CAR","Benguet","Ucab","Rotavirus","3","23"
"NCR","City Of Malabon","Longos","Rotavirus","3","23"
"NCR","City Of Manila","Barangay 900","Rotavirus","4","23"
