"Region","PHI","Barangay","Disease","No. of Cases","MW"
"1","LA UNION","POBLACION","Measles-Rubella","2","15"
"1","PANGASINAN","BARANGAY A (POB.)","Measles-Rubella","2","15"
"3","BULACAN","SULUCAN","Measles-Rubella","2","15"
"3","BULACAN","BAYUGO","Measles-Rubella","2","15"
"3","BULACAN","MALHACAN","Measles-Rubella","7","15"
"3","BULACAN","PANDAYAN","Measles-Rubella","2","15"
"3","BULACAN","LOMA DE GATO","Measles-Rubella","2","15"
"3","BULACAN","PRENZA I","Measles-Rubella","3","15"
"4A","BATANGAS","NATATAS","Measles-Rubella","2","15"
"4A","CAVITE","BUENAVISTA II","Measles-Rubella","2","15"
"4A","CAVITE","JAVALERA","Measles-Rubella","3","15"
"4A","CAVITE","BUNGA","Measles-Rubella","6","15"
"4A","CAVITE","CABUCO","Measles-Rubella","3","15"
"4A","LAGUNA","CALIOS","Measles-Rubella","2","15"
"4A","LAGUNA","SANTO ANGEL NORTE","Measles-Rubella","2","15"
"4A","RIZAL","PINUGAY","Measles-Rubella","3","15"
"4A","RIZAL","SAN SALVADOR","Measles-Rubella","2","15"
"5","CAMARINES SUR","IRAYANG SOLONG","Measles-Rubella","4","15"
"9","ZAMBOANGA DEL SUR","LOWER SANG-AN","Measles-Rubella","2","15"
"9","ZAMBOANGA DEL SUR","DUMAGOC","Measles-Rubella","2","15"
"10","LANAO DEL NORTE","OLD POBLACION","Measles-Rubella","2","15"
"10","LANAO DEL NORTE","SANDIGAMUNAI","Measles-Rubella","3","15"
"10","LANAO DEL NORTE","TAMBO","Measles-Rubella","10","15"
"10","MISAMIS ORIENTAL","POBLACION","Measles-Rubella","3","15"
"11","DAVAO DEL NORTE","CANOCOTAN","Measles-Rubella","2","15"
"11","DAVAO DEL NORTE","MANKILAM","Measles-Rubella","2","15"
"11","DAVAO DEL NORTE","VISAYAN VILLAGE","Measles-Rubella","2","15"
"11","DAVAO DEL SUR","TIGUMAN","Measles-Rubella","2","15"
"12","SARANGANI","MARIBULAN","Measles-Rubella","2","15"
"12","SULTAN KUDARAT","POBLACION","Measles-Rubella","2","15"
"BARMM","TAWI-TAWI","SIKULLIS","Measles-Rubella","2","15"
