"Region","PHI","Barangay","Disease","No. of Cases","MW"
"3","Angeles City","Pandan","Rotavirus","3","6"
"3","Pampanga","Del Pilar","Rotavirus","3","6"
"7","Cebu City","Basak San Nicolas","Rotavirus","3","6"
"7","Cebu City","Camputhaw","Rotavirus","3","6"
"7","Cebu City","Carreta","Rotavirus","3","6"
"7","Cebu City","Guadalupe","Rotavirus","7","6"
"7","Cebu City","Inayawan","Rotavirus","3","6"
"7","Cebu City","Kinasang-An Pardo","Rotavirus","3","6"
"7","Cebu City","Mambaling","Rotavirus","6","6"
"7","Cebu City","Pardo","Rotavirus","4","6"
"7","Cebu City","Quiot Pardo","Rotavirus","3","6"
"8","Samar (Western Samar)","Guindaponan","Rotavirus","3","6"
"8","Samar (Western Samar)","Guinsorongan","Rotavirus","5","6"
"8","Tacloban City","Barangay 106","Rotavirus","5","6"
"8","Tacloban City","Barangay 97","Rotavirus","3","6"
"11","Davao Del Norte","Apokon","Rotavirus","3","6"
"4A","Laguna","San Antonio","Rotavirus","5","6"
"4A","Quezon","Bagong Bayan","Rotavirus","3","6"
"4B","Puerto Princesa City","Bancao-Bancao","Rotavirus","3","6"
"BARMM","Maguindanao","Poblacion","Rotavirus","4","6"
"BARMM","Maguindanao","Limpongo","Rotavirus","5","6"
"BARMM","Maguindanao","Dalican Poblacion","Rotavirus","5","6"
"BARMM","Maguindanao","Pidsandawan","Rotavirus","3","6"
"BARMM","Maguindanao","Poblacion","Rotavirus","3","6"
"NIR","Bacolod City","Felisa","Rotavirus","3","6"
"NIR","Bacolod City","Granada","Rotavirus","4","6"
