"Region","PHI","Barangay","Disease","No. of Cases","MW"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","LANAO DEL SUR","RAPASUN MSU","Hand, Foot, and Mouth Disease","2","16"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","MAGUINDANAO DEL SUR","MALATIMON","Hand, Foot, and Mouth Disease","2","16"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","SULU","BUS-BUS","Hand, Foot, and Mouth Disease","5","16"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","SULU","SAN RAYMUNDO","Hand, Foot, and Mouth Disease","2","16"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","SULU","TAKUT-TAKUT","Hand, Foot, and Mouth Disease","2","16"
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","TAWI-TAWI","SAPA-SAPA","Hand, Foot, and Mouth Disease","3","16"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","BENGUET","LOACAN","Hand, Foot, and Mouth Disease","2","16"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","BENGUET","POBLACION","Hand, Foot, and Mouth Disease","2","16"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","BENGUET","TALOY SUR","Hand, Foot, and Mouth Disease","3","16"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","CITY OF BAGUIO","GIBRALTAR","Hand, Foot, and Mouth Disease","2","16"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","IFUGAO","NUNGAWA","Hand, Foot, and Mouth Disease","3","16"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","MOUNTAIN PROVINCE","TONGLAYAN","Hand, Foot, and Mouth Disease","2","16"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","MOUNTAIN PROVINCE","BANTAY","Hand, Foot, and Mouth Disease","4","16"
"CORDILLERA ADMINISTRATIVE REGION (CAR)","MOUNTAIN PROVINCE","PALITUD","Hand, Foot, and Mouth Disease","2","16"
"MIMAROPA REGION","CITY OF PUERTO PRINCESA","LUZVIMINDA","Hand, Foot, and Mouth Disease","2","16"
"MIMAROPA REGION","MARINDUQUE","BICAS-BICAS","Hand, Foot, and Mouth Disease","3","16"
"MIMAROPA REGION","MARINDUQUE","HINADHARAN","Hand, Foot, and Mouth Disease","2","16"
"MIMAROPA REGION","OCCIDENTAL MINDORO","BARAHAN","Hand, Foot, and Mouth Disease","4","16"
"MIMAROPA REGION","OCCIDENTAL MINDORO","KURTINGANAN","Hand, Foot, and Mouth Disease","2","16"
"MIMAROPA REGION","OCCIDENTAL MINDORO","LUMANGBAYAN","Hand, Foot, and Mouth Disease","2","16"
"MIMAROPA REGION","OCCIDENTAL MINDORO","POBLACION II","Hand, Foot, and Mouth Disease","6","16"
"MIMAROPA REGION","ORIENTAL MINDORO","BANGKATAN","Hand, Foot, and Mouth Disease","2","16"
