,Region,PHI,Barangay,Disease,No. of Cases,MW
7190,XI,DAVAO DEL NORTE,SINDATON,Dengue,12,18
7191,XI,DAVAO DEL NORTE,SOUTHERN DAVAO,Dengue,6,18
7192,XI,DAVAO DEL NORTE,TIBUNGOL,Dengue,8,18
7193,XI,DAVAO DEL NORTE,UPPER LICANAN,Dengue,4,18
7194,XI,DAVAO DEL NORTE,APOKON,Dengue,15,18
7195,XI,DAVAO DEL NORTE,MADAUM,Dengue,3,18
7196,XI,DAVAO DEL NORTE,MAGUGPO EAST,Dengue,3,18
7197,XI,DAVAO DEL NORTE,MAGUGPO SOUTH,Dengue,4,18
7198,XI,DAVAO DEL NORTE,MAGUGPO WEST,Dengue,4,18
7199,XI,DAVAO DEL NORTE,MANKILAM,Dengue,13,18
7200,XI,DAVAO DEL NORTE,SAN MIGUEL,Dengue,9,18
7201,XI,DAVAO DEL NORTE,VISAYAN VILLAGE,Dengue,14,18
7202,XI,DAVAO DEL NORTE,GABUYAN,Dengue,5,18
7203,XI,DAVAO DEL NORTE,MANIKI,Dengue,14,18
7204,XI,DAVAO DEL NORTE,SAMPAO,Dengue,6,18
7205,XI,DAVAO DEL NORTE,SEMONG,Dengue,3,18
7206,XI,DAVAO DEL NORTE,SUA-ON,Dengue,6,18
